time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,time/episodes,rollout/exploration_rate
63,,3451,54,,,0.001,,1675,0.017409000545740128,,,,,493,0.05
63,,3458,54,,,0.001,,1678,0.014258716255426407,,,,,494,0.05
63,,3465,54,,,0.001,,1682,0.013876132667064667,,,,,495,0.05
63,,3472,54,,,0.001,,1685,0.005796995013952255,,,,,496,0.05
63,,3479,54,,,0.001,,1689,0.022542741149663925,,,,,497,0.05
63,,3486,54,,,0.001,,1692,0.020758047699928284,,,,,498,0.05
63,,3493,54,,,0.001,,1696,0.015108156949281693,,,,,499,0.05
63,,3500,54,,,0.001,,1699,0.012419091537594795,,,,,500,0.05
63,,3507,54,,,0.001,,1703,0.019632838666439056,,,,,501,0.05
64,,3514,54,,,0.001,,1706,0.011593085713684559,,,,,502,0.05
64,,3521,54,,,0.001,,1710,0.014506828971207142,,,,,503,0.05
64,,3528,54,,,0.001,,1713,0.012238183990120888,,,,,504,0.05
64,,3535,54,,,0.001,,1717,0.019811410456895828,,,,,505,0.05
64,,3542,54,,,0.001,,1720,0.03142940253019333,,,,,506,0.05
64,,3549,54,,,0.001,,1724,0.023913636803627014,,,,,507,0.05
64,,3556,54,,,0.001,,1727,0.017890561372041702,,,,,508,0.05
65,,3563,54,,,0.001,,1731,0.021499168127775192,,,,,509,0.05
65,,3570,54,,,0.001,,1734,0.014956513419747353,,,,,510,0.05
65,,3577,54,,,0.001,,1738,0.01857231743633747,,,,,511,0.05
65,,3584,54,,,0.001,,1741,0.013861427083611488,,,,,512,0.05
65,,3591,54,,,0.001,,1745,0.017557542771100998,,,,,513,0.05
65,,3598,54,,,0.001,,1748,0.00835942942649126,,,,,514,0.05
66,,3605,54,,,0.001,,1752,0.02933616004884243,,,,,515,0.05
66,,3612,54,,,0.001,,1755,0.010801979340612888,,,,,516,0.05
66,,3619,54,,,0.001,,1759,0.02651074156165123,,,,,517,0.05
66,,3626,54,,,0.001,,1762,0.023118924349546432,,,,,518,0.05
66,,3633,54,,,0.001,,1766,0.019220048561692238,,,,,519,0.05
66,,3640,54,,,0.001,,1769,0.022045817226171494,,,,,520,0.05
66,,3647,54,,,0.001,,1773,0.014331923797726631,,,,,521,0.05
66,,3654,54,,,0.001,,1776,0.02622040919959545,,,,,522,0.05
67,,3661,54,,,0.001,,1780,0.013033688999712467,,,,,523,0.05
67,,3668,54,,,0.001,,1783,0.01987917535007,,,,,524,0.05
67,,3675,54,,,0.001,,1787,0.024637071415781975,,,,,525,0.05
67,,3682,54,,,0.001,,1790,0.02039502188563347,,,,,526,0.05
67,,3689,54,,,0.001,,1794,0.006640860810875893,,,,,527,0.05
67,,3696,54,,,0.001,,1797,0.027074558660387993,,,,,528,0.05
67,,3703,54,,,0.001,,1801,0.005025213118642569,,,,,529,0.05
67,,3710,54,,,0.001,,1804,0.013023067265748978,,,,,530,0.05
