time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/policy_loss
14848,25,591,58,57,-0.11285185813903809,0.001,-2.7298927307128906e-05,56.78302764892578,0.5004463195800781
15104,25,591,59,58,-0.1375635266304016,0.001,0.00013077259063720703,72.83679962158203,0.3483787775039673
15360,25,590,60,59,-0.11359544098377228,0.001,0.0002595186233520508,84.23411560058594,0.6658331155776978
15616,26,590,61,60,-0.11126528680324554,0.001,0.0003445148468017578,55.373374938964844,0.8396633863449097
15872,26,591,62,61,-0.1326802670955658,0.001,0.00018578767776489258,70.07720184326172,1.9058390855789185
16128,27,591,63,62,-0.1571204960346222,0.001,0.00013637542724609375,57.08666229248047,1.5651159286499023
16384,27,591,64,63,-0.15484412014484406,0.001,0.00019472837448120117,29.032649993896484,-0.26481667160987854
16640,28,590,65,64,-0.14104673266410828,0.001,8.189678192138672e-05,46.1162223815918,1.2677655220031738
16896,28,590,66,65,-0.14926940202713013,0.001,0.00015997886657714844,32.51832580566406,0.16017112135887146
17152,29,588,67,66,-0.16247063875198364,0.001,0.00020241737365722656,25.638187408447266,-0.19783586263656616
17408,29,583,68,67,-0.12265818566083908,0.001,-1.8477439880371094e-05,67.66500854492188,0.7676817774772644
17664,30,582,69,68,-0.13963806629180908,0.001,8.934736251831055e-05,93.25228881835938,3.670717477798462
17920,30,583,70,69,-0.15628984570503235,0.001,0.0001462697982788086,26.98065185546875,0.13652564585208893
18176,31,582,71,70,-0.18390434980392456,0.001,4.935264587402344e-05,25.33504867553711,-1.5854158401489258
18432,31,581,72,71,-0.16010190546512604,0.001,1.728534698486328e-05,28.852787017822266,-1.2614634037017822
18688,32,582,73,72,-0.09621427208185196,0.001,-8.416175842285156e-05,48.20608139038086,2.0271730422973633
18944,32,580,74,73,-0.0956588163971901,0.001,1.6927719116210938e-05,33.28633117675781,0.3446184992790222
19200,33,579,75,74,-0.0997094064950943,0.001,0.00026935338973999023,50.07365798950195,1.0627167224884033
19456,33,579,76,75,-0.08406064659357071,0.001,4.982948303222656e-05,82.75975036621094,0.44484496116638184
19712,34,578,77,76,-0.08666703850030899,0.001,0.00014543533325195312,35.78385925292969,0.5706521272659302
19968,34,580,78,77,-0.10328026860952377,0.001,-2.7894973754882812e-05,55.04856491088867,0.10749725252389908
20224,34,581,79,78,-0.07465877383947372,0.001,0.00010436773300170898,62.86479949951172,0.7253748774528503
20480,35,581,80,79,-0.12362176924943924,0.001,3.5762786865234375e-05,66.60545349121094,0.29664602875709534
20736,35,581,81,80,-0.09358979761600494,0.001,-7.152557373046875e-07,65.0317611694336,0.5215109586715698
20992,36,582,82,81,-0.10362165421247482,0.001,8.83936882019043e-05,86.92808532714844,0.9870848655700684
21248,36,581,83,82,-0.09198172390460968,0.001,0.0001131296157836914,57.66129684448242,0.6424384713172913
21504,36,582,84,83,-0.09399166703224182,0.001,0.00011157989501953125,69.12578582763672,0.34532102942466736
