time/fps,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
122,2030,16,290,0.05,0.001,0.02141209878027439,964
122,2037,16,291,0.05,0.001,0.021289721131324768,968
122,2044,16,292,0.05,0.001,0.026091350242495537,971
122,2051,16,293,0.05,0.001,0.024415988475084305,975
122,2058,16,294,0.05,0.001,0.03466257080435753,978
122,2065,16,295,0.05,0.001,0.020810982212424278,982
122,2072,16,296,0.05,0.001,0.017440039664506912,985
122,2079,17,297,0.05,0.001,0.022167636081576347,989
121,2086,17,298,0.05,0.001,0.030985979363322258,992
121,2093,17,299,0.05,0.001,0.01668906770646572,996
121,2100,17,300,0.05,0.001,0.02491752989590168,999
121,2107,17,301,0.05,0.001,0.019739681854844093,1003
122,2114,17,302,0.05,0.001,0.029649775475263596,1006
122,2121,17,303,0.05,0.001,0.019322428852319717,1010
122,2128,17,304,0.05,0.001,0.022246835753321648,1013
122,2135,17,305,0.05,0.001,0.021695401519536972,1017
122,2142,17,306,0.05,0.001,0.027417171746492386,1020
122,2149,17,307,0.05,0.001,0.0225616917014122,1024
122,2156,17,308,0.05,0.001,0.01849517785012722,1027
122,2163,17,309,0.05,0.001,0.030036872252821922,1031
122,2170,17,310,0.05,0.001,0.0094424057751894,1034
122,2177,17,311,0.05,0.001,0.023401154205203056,1038
122,2184,17,312,0.05,0.001,0.022871719673275948,1041
122,2191,17,313,0.05,0.001,0.03054705634713173,1045
122,2198,17,314,0.05,0.001,0.02429533191025257,1048
122,2205,18,315,0.05,0.001,0.03656665235757828,1052
122,2212,18,316,0.05,0.001,0.016815941780805588,1055
122,2219,18,317,0.05,0.001,0.031194664537906647,1059
122,2226,18,318,0.05,0.001,0.03585704788565636,1062
122,2233,18,319,0.05,0.001,0.02710811048746109,1066
122,2240,18,320,0.05,0.001,0.018026456236839294,1069
122,2247,18,321,0.05,0.001,0.012572145089507103,1073
122,2254,18,322,0.05,0.001,0.02089548297226429,1076
122,2261,18,323,0.05,0.001,0.024629510939121246,1080
122,2268,18,324,0.05,0.001,0.020166967064142227,1083
122,2275,18,325,0.05,0.001,0.014692581258714199,1087
122,2282,18,326,0.05,0.001,0.014603991061449051,1090
122,2289,18,327,0.05,0.001,0.020857106894254684,1094
122,2296,18,328,0.05,0.001,0.012109643779695034,1097
122,2303,18,329,0.05,0.001,0.020653843879699707,1101
122,2310,18,330,0.05,0.001,0.01897542178630829,1104
122,2317,18,331,0.05,0.001,0.02272687293589115,1108
122,2324,18,332,0.05,0.001,0.01998668722808361,1111
122,2331,18,333,0.05,0.001,0.020918047055602074,1115
122,2338,19,334,0.05,0.001,0.01787641830742359,1118
122,2345,19,335,0.05,0.001,0.011411472223699093,1122
122,2352,19,336,0.05,0.001,0.02509748749434948,1125
123,2359,19,337,0.05,0.001,0.01876918040215969,1129
123,2366,19,338,0.05,0.001,0.020832618698477745,1132
123,2373,19,339,0.05,0.001,0.03037859871983528,1136
123,2380,19,340,0.05,0.001,0.027292300015687943,1139
